name,cuisine,station,city,description
Myeongdong Kyoja,Korean,Myeongdong Station,Seoul,Famous for kalguksu noodles and mandu dumplings
Gwangjang Market,Korean Street Food,Jongno 5-ga Station,Seoul,Historic market with bindaetteok and mayak gimbap
Tosokchon Samgyetang,Korean Soup,Gyeongbokgung Station,Seoul,Renowned ginseng chicken soup near palace
Jungsik,Korean Fine Dining,Gangnam Station,Seoul,Two Michelin-starred modern Korean cuisine
Maple Tree House,Korean BBQ,Itaewon Station,Seoul,Premium Korean BBQ in Itaewon
Noryangjin Fish Market,Korean Seafood,Noryangjin Station,Seoul,Korea's largest seafood market
Hanilkwan,Korean Traditional,Yongsan Station,Seoul,Historic restaurant serving traditional cuisine since 1939
Balwoo Gongyang,Temple Food,Anguk Station,Seoul,Michelin-starred Buddhist temple cuisine
Mingles,Modern Korean,Cheongdam Station,Seoul,Contemporary Korean fine dining with fusion elements
Samwon Garden,Korean BBQ,Apgujeong Station,Seoul,Premium hanwoo beef and traditional Korean BBQ
